host_name,host_acceptance_rate,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value
Aka Times Square,100,18.0,Manhattan,40.75595,-73.98326,Entire home/apt,3,1.0,1 bath,1.0,508.0,5,4.8,4.6,4.4,5.0,4.8,4.6
Alyson,52,1.0,Brooklyn,40.6819299959871,-73.99278031586914,Private room,1,1.0,1 shared bath,1.0,90.0,12,4.75,5.0,4.75,5.0,5.0,4.92
Coco,0,1.0,Queens,40.76707,-73.86577,Entire home/apt,5,2.0,2 baths,4.0,164.0,20,4.55,4.55,4.75,4.85,4.8,4.6
Cassi,100,7.0,Brooklyn,40.68727,-73.96857,Entire home/apt,4,2.0,2 baths,3.0,297.0,10,5.0,4.9,5.0,5.0,5.0,4.8
Aamer,96,26.0,Manhattan,40.74545,-73.98232,Private room,2,1.0,1 private bath,1.0,80.0,2,4.5,4.5,4.5,4.5,4.5,4.5
Sunhwa,75,1.0,Manhattan,40.72639,-73.98351,Entire home/apt,2,1.5,1.5 baths,1.0,195.0,24,4.96,4.88,4.92,5.0,4.96,4.79
Timothy,100,1.0,Manhattan,40.80911,-73.94317,Entire home/apt,3,1.0,1 bath,2.0,136.0,25,4.92,4.96,4.96,5.0,4.88,4.96
Aimee,95,1.0,Queens,40.75708,-73.92669,Entire home/apt,2,1.0,1 bath,1.0,120.0,261,4.89,4.9,4.93,4.96,4.91,4.85
Philipp,50,1.0,Manhattan,40.79268373013725,-73.96774792942705,Private room,1,1.0,1 shared bath,1.0,69.0,1,4.0,3.0,2.0,5.0,4.0,4.0
Jeremy,61,5.0,Brooklyn,40.66239,-73.9618,Entire home/apt,4,1.0,1 bath,1.0,117.0,10,5.0,4.9,4.9,5.0,4.7,4.9
Neil,100,2.0,Brooklyn,40.68641,-73.94076,Entire home/apt,4,1.0,1 bath,2.0,109.0,230,4.7,4.77,4.69,4.91,4.65,4.69
Laura Adriana,57,8.0,Brooklyn,40.63833,-74.01671,Entire home/apt,1,1.0,1 bath,1.0,45.0,2,4.0,4.0,4.0,4.5,4.0,4.5
Spring,100,2.0,Manhattan,40.73385,-73.98593,Private room,3,1.0,1 shared bath,0.0,120.0,111,4.42,4.59,4.5,4.74,4.84,4.45
Jinx,100,3.0,Manhattan,40.76294,-73.99475,Private room,1,1.0,1 shared bath,1.0,100.0,5,5.0,4.8,5.0,5.0,5.0,5.0
